Density_min-max,density_o_min-max,Altitude_min-max,Kp_min-max,DSTIndex_min-max,Flag(***)_min-max,apindex_min-max,la_min-max,lo_min-max,local_solar_time_min-max,Unnamed: 0,Density,density_o,Altitude,la,lo,local_solar_time,Magnitude of Average Field Vector,ProtonDensity ,Kp,DSTIndex,Flag(***),apindex
0.261179088,7.71E-47,0.3039523,0.036144578,0.852589641,0,0.011173184,0.977388911,3.35E-31,0.908969068,39,1.16E-13,1.34E-13,447883.5906,87.24186746,154.4504994,21.8152009,3,4.9,3,5,-1,2
0.262458287,8.71E-47,0.302130637,0.036144578,0.848605578,0,0.011173184,0.986739975,2.82E-31,0.827877909,40,1.39E-13,1.44E-13,447798.9238,87.30113028,102.0155993,19.86904388,2.3,6.2,3,4,-1,2
0.26051168,7.11E-47,0.301228192,0.036144578,0.856573705,0,0.011173184,0.996456835,2.71E-31,0.860311139,41,1.04E-13,1.28E-13,447756.9802,87.36271135,90.3238605,20.64742909,2.7,6.5,3,6,-1,2
0.259343715,6.11E-47,0.299694648,0,0.844621514,0,0,0.988084889,2.59E-31,0.892961686,42,8.30E-14,1.18E-13,447685.7045,87.30965374,78.71034455,21.4310298,2.3,6.7,0,3,-1,0
0.260456062,6.21E-47,0.301018393,0,0.84063745,0,0,0.97585191,2.06E-31,0.812038806,43,1.03E-13,1.19E-13,447747.2292,87.23212664,26.33599606,19.48891142,2.2,7.2,0,2,-1,0
0.261624027,7.71E-47,0.302248756,0,0.832669323,0,0,0.993672525,1.94E-31,0.843376967,44,1.24E-13,1.34E-13,447804.4137,87.34506565,14.25001625,20.2410154,4.1,5.1,0,0,-1,0
0.257680756,7.61E-47,0.301646575,0,0.828685259,0,0,0.993920698,1.83E-31,0.87583807,45,5.31E-14,1.33E-13,447776.4257,87.34663846,2.568285042,21.02006952,4,4.4,0,-1,-1,0
0.259215795,8.71E-47,0.299733684,0.036144578,0.84063745,0,0.011173184,0.977173231,1.71E-31,0.907065265,46,8.07E-14,1.44E-13,447687.5188,87.24050058,-9.557647365,21.76951035,3.6,6.1,3,2,-1,2
0.258737486,8.71E-47,0.298206977,0.036144578,0.84063745,0,0.011173184,0.570094758,2.14E-31,0.028047795,47,7.21E-14,1.44E-13,447616.5609,84.66062107,33.75115033,0.673424964,3.6,6.1,3,2,-1,2
0.260622914,8.11E-47,0.300652087,0.156626506,0.864541833,0,0.027932961,0.986501763,1.18E-31,0.825938119,48,1.06E-13,1.38E-13,447730.2041,87.2996206,-62.00554268,19.82248967,4,7.5,13,8,-1,5
0.2621802,7.11E-47,0.301350817,0.156626506,0.856573705,0,0.027932961,0.996384581,1.06E-31,0.858364965,49,1.34E-13,1.28E-13,447762.6795,87.36225344,-73.6996107,20.60072166,4.3,8.2,13,6,-1,5
0.263904338,8.21E-47,0.302567969,0.036144578,0.84063745,0,0.011173184,0.98822254,9.47E-32,0.891022724,50,1.65E-13,1.39E-13,447819.25,87.31052611,-85.31055421,21.38449545,4.4,9,3,2,-1,2
